onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
52.3918319320001	2	0.313805621000029	3	BALOON	b	ACCEPT	0	0.25	1.75	0.25	52.3918	2	accept
54.5659138219999	2	0.332473620000201	3	BALOON	b	ACCEPT	0	0.25	2	0.25	54.5659	2	accept
56.0262727320001	2	0.519968562000031	3	BALOON	b	ACCEPT	0	0.25	2.25	0.25	56.0263	2	accept
58.167256795	2	0.410150263000105	3	BALOON	y	CASHOUT	0	0	2.25	0.25	58.1673	2	reject
63.5442629640002	2	0.385898379000082	4	BALOON	b	ACCEPT	0	0.25	0.75	0.25	63.5443	2	accept
65.4693545089999	2	0.252718938000271	4	BALOON	b	ACCEPT	0	0.25	1	0.25	65.4694	2	accept
66.7970735849999	2	0.427880845000345	4	BALOON	b	ACCEPT	0	0.25	1.25	0.25	66.7971	2	accept
68.4566049989999	2	0.408548682000401	4	BALOON	b	ACCEPT	0	0.25	1.5	0.25	68.4566	2	accept
70.8296582799999	2	0.364239628000178	4	BALOON	b	ACCEPT	0	0.25	1.75	0.25	70.8297	2	accept
72.2901916820001	2	0.480351364999933	4	BALOON	b	ACCEPT	0	0.25	2	0.25	72.2902	2	accept
73.8169106559999	2	0.401326072000302	4	BALOON	b	ACCEPT	0	0.25	2.25	0.25	73.8169	2	accept
75.5594807090001	2	0.361157463999916	4	BALOON	y	CASHOUT	0	0	2.25	0.25	75.5595	2	reject
82.2975562010001	2	0.495247889999973	5	BALOON	b	ACCEPT	1	0.25	0.75	0.25	82.2976	2	accept
84.6042918349999	2	0.293645181000102	5	BALOON	b	ACCEPT	1	0.25	1	0.25	84.6043	2	accept
86.2970844199999	2	0.36014629400006	5	BALOON	b	ACCEPT	1	0.25	1.25	0.25	86.2971	2	accept
88.3880883510001	2	0.312179443999867	5	BALOON	b	ACCEPT	1	0.25	1.5	0.25	88.3881	2	accept
90.0808719219999	2	0.457063931999983	5	BALOON	b	ACCEPT	1	0.25	1.75	0.25	90.0809	2	accept
91.856606754	2	0.377728372000092	5	BALOON	b	ACCEPT	1	0.25	2	0.25	91.8566	2	accept
93.416587747	2	0.400600255999962	5	BALOON	b	ACCEPT	1	0.25	2.25	0.25	93.4166	2	accept
95.3252403410002	2	0	5	BALOON	n/a	EXPLODE	1	0	2.25	0.25	95.3252	2	explode
102.859599161	2	0.549808148000011	6	BALOON	b	ACCEPT	1	0.25	0.75	0.25	102.8596	2	accept
104.65190535	2	0.301797958999941	6	BALOON	b	ACCEPT	1	0.25	1	0.25	104.6519	2	accept
106.44433418	2	0.229071326999929	6	BALOON	b	ACCEPT	1	0.25	1.25	0.25	106.4443	2	accept
107.821839001	2	0.3715463489998	6	BALOON	b	ACCEPT	1	0.25	1.5	0.25	107.8218	2	accept
110.045701827	2	0	6	BALOON	n/a	EXPLODE	1	0	1.5	0.25	110.0457	2	explode
116.418339284	2	0.383628654999939	7	BALOON	b	ACCEPT	1	0.25	0.75	0.25	116.4183	2	accept
118.028167315	2	0.333373178999864	7	BALOON	b	ACCEPT	1	0.25	1	0.25	118.0282	2	accept
119.588217135	2	0.332630545000029	7	BALOON	b	ACCEPT	1	0.25	1.25	0.25	119.5882	2	accept
121.496645883	2	0.312927868000315	7	BALOON	b	ACCEPT	1	0.25	1.5	0.25	121.4966	2	accept
123.620949523	2	0.371822092000002	7	BALOON	b	ACCEPT	1	0.25	1.75	0.25	123.6209	2	accept
125.545977186	2	0.336050118999992	7	BALOON	b	ACCEPT	1	0.25	2	0.25	125.546	2	accept
127.504494681	2	0	7	BALOON	n/a	EXPLODE	1	0	2	0.25	127.5045	2	explode
130.956371507	2	0.285494725000262	8	BALOON	b	ACCEPT	0	0.25	0.75	0.25	130.9564	2	accept
133.229935003	2	0.267283181000039	8	BALOON	b	ACCEPT	0	0.25	1	0.25	133.2299	2	accept
135.437189537	2	0.307939960000112	8	BALOON	b	ACCEPT	0	0.25	1.25	0.25	135.4372	2	accept
137.395466878	2	0.270900196999719	8	BALOON	b	ACCEPT	0	0.25	1.5	0.25	137.3955	2	accept
